Code,Name,Creator,Description,Wiki,Failure implication,"Severity/
Verification/
Metric",Facet,Darwin Core Class,Darwin Core Fields,References,Implementation notes (algorithms),Logic,New/Currently Supported,Geospatial
Geospatial,,,,,,,,,,,,,,
0,GEOSPATIAL_ISSSUE,,Generic geospatial issue,,,,,,,,,,,
2024,NEGATED_LATITUDE,GBIF,Record appears to be referencing a location in the wrong hemisphere,Wiki,Fix and report,Warning,Other,Location,decimalLatitude,,,,SUPPORTED,
2023,NEGATED_LONGITUDE,GBIF,Record appears to be referencing a location in the wrong hemisphere,Wiki,Fix and report,Warning,Other,Location,decimalLongitude,,,,SUPPORTED,
,INVERTED_COORDINATES,GBIF,Latitude and longitude have been transposed,Wiki,Fix and report,Warning,Other,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,
2000,ZERO_COORDINATES,GBIF,Latitude and longitude provided are both zero,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Important,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,X
2001,COORDINATES_OUT_OF_RANGE,GBIF,Latitude >90 or <-90 and Longitude >180 or <-180,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Important,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,
1005,UNKNOWN_COUNTRY_NAME,GBIF,Unrecognised or unparseable country name,Wiki,Report,Warning,Other,Location,country,,,,SUPPORTED,
2036,ALTITUDE_OUT_OF_RANGE,GBIF,"Altitude greater than 10000m, or less than -100m",Wiki,Report,Warning,Other,Location,verbatimElevation,,,,SUPPORTED,X
,BADLY_FORMED_ALTITUDE,GBIF,Free text string provided as altitude,Wiki,Report,Warning,Other,Location,verbatimElevation,,,,Duplicate of ALTITUDE_NON_NUMERIC,
2037,MIN_MAX_ALTITUDE_REVERSED,GBIF,Typically a column mapping issue,Wiki,Fix and report,Warning,Other,Location," minimumElevationInMeters, maximumElevationInMeters",,,,SUPPORTED,X
2032,DEPTH_IN_FEET,GBIF,Darwin core specifies metres should be used,Wiki,Fix and report,Warning,Other,Location,verbatimDepth,,"Bassed on unit being supplied in the field - ft, f, feet",,SUPPORTED,
2033,DEPTH_OUT_OF_RANGE,GBIF,Depth greater than 10000,Wiki,Report,Warning,Other,Location,verbatimDepth,,,,SUPPORTED,X
2034,MIN_MAX_DEPTH_REVERSED,GBIF,Typically a column mapping issue,Wiki,Fix and report,Warning,Other,Location,verbatimDepth,,,,SUPPORTED,X
2038,ALTITUDE_IN_FEET,GBIF,Darwin core specifies metres should be used,Wiki,Fix and report,Warning,Other,Location,verbatimElevation,,"Bassed on unit being supplied in the field - ft, f, feet",,SUPPORTED,
2039,ALTITUDE_NON_NUMERIC,GBIF,Should be a numeric value in metres,Wiki,Report,Warning,Other,Location,verbatimElevation,,,,SUPPORTED,X
2035,DEPTH_NON_NUMERIC,GBIF,Should be a numeric value in metres,Wiki,Report,Warning,Other,Location,verbatimDepth,,,,"SUPPORTED 
Not in use in Biocache 04.09.2020",X
,,,,,,,,,,,,,,
1004,STATEPROVINCE_COORDINATE_MISMATCH,DM,Coordinates dont match the supplied state,Wiki,Report,Warning,Other,Location,"stateProvince, decimalLatitude, decimalLongitude",,,,SUPPORTED,X
19,COORDINATE_HABITAT_MISMATCH,DM,A marine species detected in a terrestrial environment or a terrestrial species detected in a marine environment.,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Important,Location,"decimalLatitude, decimalLongitude,
terrestrial spatial layer",,,,SUPPORTED,X
20,"DETECTED_OUTLIER_ENVIRONMENTAL
DETECTED_OUTLIER",DM,Record marked as outlier because it is outside the acepted environmental range/envelope of the species,Wiki,Optionally exclude from mapping and other reports,Error,Outlier,Location,"decimalLatitude, decimalLongitude, various spatial layers",,"SB to investigate best methods to identify potentail outliers using standard deviation, deviations from median, cumulative frequency and other measures.",,SUPPORTED,
2018,COUNTRY_INFERRED_FROM_COORDINATES,GBIF,"Country field supplied was empty, but was inferred in processing by the supplied coordinates",Wiki,Report,Warning,Other,Location,country,GBIF 2010,,,SUPPORTED,
1001,COORDINATES_CENTRE_OF_STATEPROVINCE,DM,Coordinates are the exact centre of the state or territory,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Other,Location,"stateProvince, coordinatePrecision, CoordinateUncertaintyInMeters
",,,,SUPPORTED,X
,COORDINATE_PRECISION_MISMATCH,MN,Coordinate data does not match precision indicated - could be incorrect precision or truncation or rounding of the coordinate data (most likely with trailing zeros),Wiki,Report,Warning,Other,Location,coordinatePrecision,,,,SUPPORTED,
,PRECISION_RANGE_MISMATCH,MN,A precision value should be between >0 and <=1 if entered according to DwC specificiations,Wiki,Report,Warning,Other,Location,coordinatePrecision,,,,SUPPORTED,
,UNCERTAINTY_RANGE_MISMATCH,MN,Uncertainty should be a whole number >0,Wiki,Report,Warning,Other,Location,coordinateUncertaintyInMeters,,,,SUPPORTED,X
1002,UNCERTAINTY_IN_PRECISION,MN,Uncertainty value in precision field,Wiki,Report,Warning,Other,Location,"coordinateUncertaintyInMeters, coordinatePrecision",,,,SUPPORTED,X
